,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1957,1589.0,0,0.6,0,0,0,5,0.8,112.0,5,2,776.0,1397.0,3430.0,7,5,19,1,1,1,3
1976,1201.0,1,0.5,0,2,0,10,1.0,99.0,7,7,306.0,558.0,495.0,15,6,14,1,1,1,0
1132,1524.0,1,1.8,1,0,0,10,0.6,174.0,4,1,154.0,550.0,2678.0,16,5,13,1,0,1,2
985,1068.0,0,0.7,1,9,0,51,0.5,124.0,4,15,1405.0,1910.0,550.0,12,8,6,1,1,0,0
398,1323.0,1,2.5,1,10,1,28,0.2,131.0,4,12,162.0,619.0,1892.0,10,0,15,1,1,1,1
1511,1063.0,0,1.5,0,7,0,3,0.9,155.0,4,10,394.0,849.0,1919.0,12,10,20,1,1,0,1
436,685.0,0,0.5,1,8,1,13,0.8,82.0,7,15,1091.0,1203.0,3210.0,15,7,2,1,1,1,3
192,1490.0,1,0.5,1,4,1,64,0.3,150.0,8,8,1417.0,1464.0,3600.0,17,9,7,1,1,1,3
1435,688.0,1,2.5,0,9,0,40,0.2,109.0,5,20,376.0,1957.0,1382.0,12,7,8,0,1,0,1
614,539.0,1,0.6,1,9,0,21,0.1,145.0,7,14,551.0,599.0,3597.0,14,5,9,0,0,0,2
1493,1183.0,1,0.5,1,3,1,48,0.1,120.0,8,12,268.0,1010.0,1152.0,8,3,3,1,0,0,0
576,587.0,1,2.3,1,4,0,6,0.7,170.0,1,16,612.0,1793.0,2777.0,9,2,14,1,1,0,2
986,1713.0,0,3.0,1,5,1,20,0.9,104.0,7,17,237.0,890.0,971.0,11,10,10,1,0,0,0
1432,630.0,0,2.0,0,9,1,14,0.5,180.0,8,13,66.0,1448.0,1212.0,12,8,12,1,0,0,0
706,1254.0,0,1.2,1,2,0,50,0.7,108.0,5,6,462.0,1013.0,3959.0,10,4,17,1,1,0,3
1258,1872.0,1,0.5,1,14,0,49,0.2,139.0,7,18,81.0,1389.0,3153.0,16,15,5,1,1,0,3
141,1218.0,0,1.8,1,1,1,14,0.5,147.0,3,4,229.0,616.0,398.0,17,0,5,1,0,0,0
1357,1339.0,1,2.3,1,0,0,40,0.1,123.0,2,1,212.0,1269.0,2382.0,6,4,7,1,0,1,2
2,563.0,1,0.5,1,2,1,41,0.9,145.0,5,6,1263.0,1716.0,2603.0,11,2,9,1,1,0,2
1221,1263.0,1,2.0,0,0,0,5,0.4,146.0,6,3,954.0,1609.0,1958.0,9,6,4,1,1,1,2
1869,1278.0,1,1.0,0,7,1,24,0.8,170.0,3,16,1352.0,1775.0,3141.0,6,2,11,1,1,1,3
1622,1057.0,1,2.7,0,3,1,41,0.1,97.0,4,10,397.0,891.0,2033.0,16,9,2,1,1,0,1
339,1560.0,0,2.3,0,0,1,22,0.8,169.0,7,1,745.0,1364.0,1938.0,15,11,16,1,1,1,2
1769,733.0,1,0.6,1,0,0,63,0.3,105.0,7,10,950.0,1739.0,984.0,17,4,9,1,0,1,0
1536,1412.0,0,0.6,0,9,0,57,0.2,86.0,3,10,2.0,660.0,1853.0,15,10,18,0,0,1,1
483,1476.0,0,0.5,0,0,1,43,0.7,148.0,2,2,1789.0,1972.0,3644.0,15,10,6,1,0,1,3
265,1992.0,1,1.6,0,5,1,57,1.0,100.0,2,15,1552.0,1596.0,606.0,9,3,4,1,1,1,1
376,1899.0,1,0.6,0,0,0,26,0.1,151.0,2,0,96.0,814.0,336.0,13,11,4,1,0,1,0
741,1972.0,0,1.2,1,0,0,37,0.7,102.0,2,1,715.0,1648.0,2870.0,16,0,17,0,0,0,3
1013,1694.0,0,1.8,0,0,0,53,1.0,186.0,6,0,1194.0,1208.0,1653.0,7,5,6,1,0,0,2
439,1469.0,0,2.1,0,0,0,8,0.7,123.0,7,0,398.0,1133.0,1052.0,8,1,3,0,1,0,0
271,730.0,0,2.1,1,0,1,4,0.1,89.0,8,2,302.0,1247.0,1210.0,19,15,4,1,1,1,0
184,1502.0,1,1.2,0,0,0,54,0.2,138.0,5,12,65.0,588.0,3693.0,17,14,16,1,1,0,3
939,1589.0,0,2.6,0,9,0,46,0.4,84.0,3,16,618.0,940.0,2373.0,11,9,20,1,1,0,2
244,1891.0,0,2.8,0,7,1,37,0.4,129.0,7,14,169.0,1108.0,3704.0,8,6,11,1,0,0,3
931,582.0,0,0.5,1,3,0,27,0.2,168.0,3,10,985.0,1420.0,2437.0,19,2,2,1,1,1,2
445,1608.0,0,1.8,1,7,0,28,0.4,183.0,2,13,1013.0,1158.0,489.0,15,11,8,0,0,1,0
596,1175.0,0,0.6,0,10,0,25,0.1,145.0,2,12,137.0,1501.0,3153.0,9,4,12,1,0,0,2
817,918.0,0,0.9,1,1,0,8,0.1,123.0,7,5,653.0,671.0,1652.0,17,4,14,1,1,0,1
1272,1174.0,0,0.7,1,1,1,25,0.8,91.0,2,8,1097.0,1461.0,285.0,19,7,3,1,0,1,0
1676,1125.0,1,2.7,0,10,0,23,0.4,117.0,1,14,774.0,939.0,1641.0,14,8,12,1,1,0,1
486,1089.0,1,0.9,1,12,1,2,0.7,145.0,5,15,636.0,1259.0,2765.0,13,12,10,1,0,1,2
680,658.0,1,2.7,0,0,1,12,0.9,103.0,7,3,1156.0,1750.0,3587.0,14,11,20,1,0,0,3
415,755.0,1,2.8,0,5,1,51,0.3,186.0,4,12,315.0,990.0,2734.0,10,1,16,1,0,1,2
273,1611.0,1,0.5,1,11,0,3,0.6,98.0,3,14,303.0,714.0,1595.0,8,4,9,1,0,1,1
1471,714.0,1,2.1,1,5,1,11,0.1,197.0,3,6,1750.0,1857.0,1164.0,15,12,19,1,1,0,1
1829,1065.0,0,1.7,1,4,1,48,0.3,162.0,6,8,1188.0,1948.0,265.0,8,0,12,1,0,0,0
1454,832.0,1,0.5,0,5,1,22,0.6,198.0,1,8,343.0,1431.0,1666.0,15,4,20,1,1,1,1
250,893.0,0,2.5,1,0,0,55,0.6,183.0,2,1,417.0,946.0,2986.0,7,1,6,0,1,1,2
413,1178.0,1,1.3,0,0,0,49,0.6,101.0,5,0,579.0,596.0,2511.0,6,3,17,0,0,0,2
1385,1805.0,1,0.5,0,0,0,29,0.2,182.0,4,2,758.0,891.0,1276.0,19,4,17,0,1,0,1
1307,831.0,0,1.7,1,7,1,26,0.7,177.0,5,11,511.0,621.0,1704.0,6,5,20,1,1,1,0
715,817.0,0,1.3,0,0,0,11,0.5,144.0,3,11,722.0,766.0,2039.0,11,6,19,0,1,0,1
310,1414.0,1,1.5,1,5,0,44,0.5,180.0,2,6,44.0,1118.0,3490.0,16,12,13,0,1,0,3
926,1496.0,1,1.9,1,13,0,38,0.1,126.0,4,14,501.0,506.0,1927.0,17,4,6,0,0,1,1
381,1482.0,0,0.5,0,2,0,48,0.2,142.0,7,10,634.0,642.0,2971.0,12,8,12,1,1,1,2
1565,1062.0,0,0.5,0,3,1,39,0.9,124.0,4,4,571.0,817.0,1345.0,16,0,11,1,0,1,0
425,1876.0,0,2.8,1,3,1,56,0.4,182.0,3,4,235.0,585.0,3021.0,12,2,18,1,0,0,2
1874,1083.0,1,2.9,1,1,1,39,1.0,173.0,8,2,523.0,542.0,3248.0,8,6,6,1,0,1,2
532,777.0,1,2.6,0,3,0,30,0.9,148.0,5,17,189.0,1143.0,3886.0,14,10,7,1,0,0,3
752,1620.0,0,2.6,1,6,0,5,0.9,186.0,6,18,434.0,1339.0,1086.0,18,14,13,1,0,0,1
765,733.0,0,2.1,0,5,1,7,0.2,174.0,7,10,445.0,1409.0,1403.0,15,8,2,1,1,0,0
1356,1021.0,0,1.3,0,7,0,9,0.7,192.0,2,12,901.0,1793.0,1355.0,6,1,14,1,1,0,1
408,1504.0,0,1.5,0,12,1,34,0.7,142.0,8,15,507.0,973.0,2806.0,7,2,7,1,0,1,2
1614,1001.0,0,2.8,1,1,0,40,0.2,117.0,3,7,922.0,1836.0,3654.0,13,9,10,1,1,1,3
694,1310.0,0,1.4,0,0,0,33,0.4,105.0,1,14,806.0,1016.0,1301.0,13,12,19,0,0,1,1
1738,511.0,0,0.9,1,15,1,24,0.6,136.0,3,18,367.0,1264.0,2378.0,18,3,4,1,0,0,1
548,641.0,1,1.1,0,0,1,7,0.9,192.0,1,3,417.0,759.0,3595.0,7,5,19,1,1,1,2
936,805.0,0,0.8,0,1,0,34,0.6,88.0,6,2,1262.0,1538.0,3647.0,18,11,9,1,0,1,3
1389,1801.0,0,0.5,1,6,0,52,0.9,120.0,6,10,100.0,1708.0,258.0,14,8,9,1,0,0,0
1607,744.0,0,1.7,1,0,1,33,0.5,105.0,4,2,1252.0,1963.0,2700.0,9,3,19,1,0,0,2
1939,1588.0,1,2.5,0,12,1,4,0.3,148.0,5,20,146.0,822.0,2506.0,5,3,11,1,0,0,2
1481,1834.0,0,2.1,0,7,1,40,0.1,99.0,4,11,0.0,1987.0,3692.0,13,0,16,1,1,0,3
182,1082.0,0,0.8,0,0,0,38,0.1,198.0,8,5,986.0,1191.0,2337.0,6,1,17,0,1,1,2
1940,1600.0,0,0.5,0,1,1,16,0.3,94.0,4,16,1315.0,1710.0,2073.0,9,5,4,1,1,0,2
1160,1159.0,0,2.7,0,13,1,28,0.2,80.0,8,18,378.0,751.0,2495.0,10,0,9,1,1,1,2
170,1270.0,1,0.6,1,2,1,32,0.5,101.0,7,6,299.0,845.0,3770.0,5,3,13,1,1,0,3
292,1995.0,1,1.9,0,6,0,9,0.8,139.0,6,18,1830.0,1963.0,1203.0,14,12,18,1,1,1,2
561,1229.0,0,0.5,1,15,0,14,0.8,191.0,2,16,120.0,1878.0,1667.0,17,6,17,0,0,1,1
1456,1404.0,0,2.1,0,16,0,44,0.9,151.0,1,20,1703.0,1880.0,1196.0,10,6,5,0,0,1,1
1876,864.0,0,1.6,1,0,1,53,0.3,88.0,6,1,262.0,1436.0,493.0,18,9,10,1,1,0,0
1651,1509.0,0,0.6,1,5,0,50,0.3,81.0,4,8,1010.0,1684.0,1540.0,12,8,3,1,1,0,1
849,1286.0,1,2.3,0,10,1,16,0.1,98.0,2,18,18.0,662.0,424.0,10,5,4,1,1,0,0
272,1053.0,1,0.8,1,7,1,45,0.3,103.0,1,12,594.0,1767.0,3086.0,17,6,5,1,1,1,3
1549,1772.0,1,1.6,0,17,1,45,0.5,159.0,2,18,837.0,1405.0,1146.0,6,1,17,1,1,0,1
1034,1949.0,1,1.4,0,7,0,57,0.3,145.0,7,11,951.0,1178.0,356.0,5,3,19,0,0,0,0
1743,1673.0,1,1.6,0,2,0,42,0.5,182.0,5,6,214.0,679.0,3094.0,12,4,20,0,0,0,2
371,1011.0,0,1.1,0,4,1,36,0.2,131.0,7,18,481.0,749.0,2261.0,7,6,16,1,1,1,1
1669,1487.0,0,1.5,0,5,1,42,0.8,120.0,2,7,857.0,989.0,2003.0,12,4,3,1,0,0,2
721,808.0,0,0.5,1,0,0,8,0.1,192.0,4,1,618.0,1891.0,3762.0,15,9,12,1,0,1,3
733,720.0,1,1.4,1,0,1,61,0.6,96.0,7,8,1347.0,1733.0,2799.0,5,3,15,1,0,1,3
777,1786.0,0,0.5,0,9,1,58,0.7,161.0,7,10,231.0,1671.0,2764.0,9,3,7,1,1,1,3
518,1606.0,0,1.4,0,3,0,57,0.1,154.0,4,4,1127.0,1924.0,3454.0,13,8,20,0,0,1,3
334,1882.0,1,1.3,1,8,0,47,0.2,140.0,2,13,119.0,652.0,2500.0,17,1,11,0,0,1,2
845,1907.0,0,2.0,0,13,0,55,0.9,105.0,7,15,713.0,1513.0,286.0,14,4,17,1,0,1,0
1251,1317.0,0,1.8,1,2,0,43,0.5,113.0,5,3,179.0,613.0,3436.0,16,13,5,0,1,1,3
1052,547.0,0,1.9,1,1,0,37,0.4,154.0,5,4,371.0,541.0,2705.0,17,3,10,1,1,0,1
1923,1056.0,1,2.1,1,8,1,37,0.7,101.0,3,11,914.0,979.0,2651.0,15,5,3,1,1,1,2
15,775.0,0,1.0,0,3,0,46,0.7,159.0,2,16,862.0,1864.0,568.0,17,15,11,1,1,1,0
707,1591.0,1,2.2,0,3,1,49,0.4,154.0,6,7,1384.0,1883.0,3703.0,17,6,20,1,1,0,3
900,1005.0,0,0.5,0,0,0,46,0.4,133.0,8,17,176.0,1556.0,3884.0,17,0,20,0,1,1,3
1979,1614.0,0,1.2,0,1,1,9,0.1,161.0,3,2,173.0,1219.0,1832.0,15,8,11,1,0,0,1
1572,895.0,0,0.5,1,6,0,16,0.3,164.0,8,14,126.0,1575.0,3122.0,7,0,4,0,0,1,2
903,899.0,1,2.7,0,3,1,53,0.3,192.0,4,11,641.0,1638.0,2870.0,19,16,10,1,0,1,2
465,1583.0,1,1.6,0,5,1,42,0.8,118.0,3,10,275.0,862.0,3652.0,14,10,9,1,0,0,3
1977,1379.0,0,1.1,1,1,1,18,0.2,129.0,2,16,838.0,885.0,2358.0,10,5,15,1,1,0,2
199,1905.0,0,0.6,1,9,1,36,0.4,119.0,3,20,825.0,1542.0,1287.0,13,4,16,1,0,0,1
1206,1816.0,1,1.6,1,0,0,50,0.1,186.0,5,2,800.0,1089.0,3637.0,11,7,16,0,0,1,3
1055,1720.0,1,0.7,1,0,0,19,0.1,137.0,2,3,409.0,646.0,1222.0,13,2,7,0,0,0,1
1131,831.0,1,0.7,0,2,1,62,0.7,134.0,8,9,1482.0,1490.0,2573.0,16,12,18,1,0,1,2
1379,771.0,0,2.9,0,2,0,62,0.7,106.0,1,8,1709.0,1781.0,1628.0,9,3,6,0,1,0,1
998,1373.0,1,1.9,1,1,1,29,0.9,141.0,6,12,1220.0,1348.0,2752.0,15,2,7,1,1,1,3
727,1590.0,0,0.6,1,0,0,7,0.3,122.0,3,17,1464.0,1595.0,1201.0,12,3,18,1,1,1,1
1771,1230.0,1,1.6,0,0,1,48,0.7,111.0,7,2,1960.0,1963.0,1622.0,18,17,16,1,1,1,2
1909,955.0,1,0.5,0,2,0,2,0.6,155.0,4,10,428.0,1254.0,1974.0,14,1,18,1,1,0,1
1821,680.0,1,2.4,0,13,1,34,0.4,157.0,2,17,686.0,1418.0,3845.0,15,1,4,1,1,1,3
567,1269.0,1,1.3,0,14,0,52,0.8,118.0,2,15,1597.0,1920.0,665.0,18,5,5,0,0,0,1
43,1656.0,0,1.0,0,5,1,34,0.1,166.0,3,7,880.0,1456.0,1629.0,15,12,14,1,1,0,1
274,793.0,0,1.0,1,5,1,30,0.9,133.0,2,15,1858.0,1935.0,2332.0,17,13,14,1,1,1,2
1096,1154.0,0,2.0,0,6,1,35,0.8,159.0,5,16,1003.0,1827.0,3262.0,16,15,16,1,0,0,3
101,1732.0,1,1.1,0,4,1,12,0.8,119.0,8,9,824.0,881.0,1308.0,16,7,11,1,0,1,1
1231,717.0,1,0.5,1,4,0,10,0.6,198.0,1,5,217.0,1106.0,688.0,10,7,15,0,1,0,0
1721,1174.0,1,0.9,0,7,0,30,1.0,147.0,4,20,744.0,1244.0,804.0,17,14,16,0,1,1,0
1832,897.0,0,1.4,1,1,0,17,0.4,171.0,1,2,547.0,1852.0,2948.0,12,3,5,0,0,1,2
107,1657.0,1,2.4,0,3,0,42,0.1,198.0,5,16,1770.0,1796.0,2597.0,18,1,14,1,0,0,3
1617,634.0,1,0.8,0,5,0,41,0.2,192.0,1,12,1362.0,1853.0,3242.0,18,11,4,1,0,1,3
497,1337.0,0,0.5,0,13,0,31,0.8,186.0,2,20,48.0,644.0,2180.0,7,4,16,1,0,1,1
1980,930.0,1,1.0,1,4,1,4,0.9,144.0,8,10,1017.0,1289.0,2016.0,13,10,16,1,1,1,1
881,1187.0,0,2.3,0,0,1,21,0.2,122.0,6,6,215.0,1125.0,2547.0,10,3,5,1,1,0,2
756,545.0,0,0.5,0,0,1,11,0.3,131.0,3,1,381.0,1452.0,616.0,15,6,19,1,1,1,0
619,598.0,0,2.3,1,7,0,21,0.7,196.0,2,10,680.0,1173.0,3293.0,8,4,7,1,0,1,2
1106,1266.0,0,2.6,0,1,0,18,0.4,86.0,7,2,1187.0,1595.0,398.0,16,8,3,1,1,1,0
1935,798.0,0,0.6,1,6,1,21,0.5,110.0,2,12,661.0,1951.0,1647.0,12,2,3,1,0,0,1
809,972.0,1,1.3,0,8,0,44,0.7,82.0,7,10,297.0,589.0,3925.0,7,6,7,0,1,0,3
1037,1104.0,0,1.7,0,1,1,60,0.4,199.0,2,13,653.0,1413.0,1229.0,6,0,3,1,1,1,0
72,605.0,0,1.0,0,8,1,9,0.1,142.0,3,16,160.0,1026.0,392.0,15,6,4,1,0,0,0
1283,840.0,0,1.2,1,5,1,15,0.3,178.0,6,8,526.0,1728.0,2636.0,12,2,6,1,1,0,2
1271,1944.0,1,1.8,1,0,1,31,0.8,87.0,4,10,1111.0,1362.0,2560.0,7,3,8,1,0,0,3
1334,1039.0,0,0.5,1,8,0,47,0.2,130.0,8,9,384.0,1878.0,1742.0,18,12,15,1,0,0,1
1458,1368.0,0,0.5,0,10,1,42,0.2,91.0,1,20,907.0,925.0,1590.0,12,0,14,1,0,0,1
481,1697.0,1,0.7,0,1,1,34,0.1,95.0,1,3,236.0,1264.0,3701.0,15,9,8,1,1,0,3
1068,1095.0,1,0.5,0,4,0,45,0.5,197.0,1,5,179.0,1247.0,560.0,9,1,10,1,1,0,0
506,1260.0,1,2.0,1,2,1,23,0.2,123.0,7,10,905.0,1313.0,2208.0,12,11,10,1,0,1,2
1237,1558.0,1,2.5,0,2,1,32,0.1,114.0,5,3,322.0,1385.0,878.0,16,5,17,1,1,1,0
1861,1189.0,1,1.9,0,5,0,7,0.5,164.0,2,20,79.0,615.0,841.0,13,10,11,0,1,0,0
1989,586.0,0,2.8,0,2,0,15,0.2,83.0,3,11,241.0,854.0,2592.0,12,8,3,0,0,0,1
1476,1638.0,0,1.0,0,6,0,2,0.2,189.0,1,11,440.0,563.0,2299.0,19,9,9,1,1,1,2
1866,907.0,1,2.6,1,7,0,44,0.2,160.0,3,12,144.0,896.0,3911.0,13,6,8,0,0,0,3
1455,867.0,1,1.5,0,0,1,57,0.1,159.0,4,0,289.0,724.0,2157.0,8,6,18,1,0,0,1
311,1707.0,0,1.4,0,0,0,41,0.8,80.0,7,2,1331.0,1388.0,1774.0,12,0,10,0,0,0,2
962,1660.0,0,2.8,1,4,0,7,0.8,184.0,1,6,76.0,1165.0,1531.0,12,0,7,0,0,0,1
405,1454.0,1,0.5,1,1,0,34,0.7,83.0,4,3,250.0,1033.0,3419.0,7,5,5,1,1,0,3
1330,1766.0,1,1.3,0,1,0,29,0.5,194.0,8,20,439.0,1306.0,2316.0,19,2,6,0,0,1,2
1649,1307.0,0,1.8,0,2,0,7,0.6,88.0,7,3,897.0,1103.0,1412.0,16,9,5,0,0,1,1
309,1997.0,1,1.8,1,1,0,40,0.5,185.0,4,8,866.0,1212.0,1655.0,7,6,15,1,0,0,2
226,1708.0,1,2.4,1,18,1,49,0.1,109.0,1,19,233.0,517.0,3388.0,6,4,16,1,1,1,3
1857,914.0,1,0.7,0,1,1,60,0.9,198.0,5,4,740.0,840.0,3736.0,14,8,5,1,0,0,3
710,663.0,0,0.8,1,0,0,25,0.6,183.0,2,1,82.0,1605.0,3176.0,6,2,2,1,0,1,2
1943,719.0,0,2.9,0,7,0,6,0.7,102.0,6,8,405.0,1141.0,841.0,9,1,2,1,0,0,0
1383,1763.0,0,0.5,1,12,0,10,0.2,184.0,3,19,238.0,1893.0,792.0,17,12,13,1,0,1,0
1785,1354.0,1,0.7,1,3,1,26,0.5,136.0,4,6,297.0,918.0,2090.0,5,1,13,1,1,0,1
148,1216.0,0,3.0,0,4,0,47,0.4,199.0,3,7,1852.0,1967.0,2268.0,13,5,4,0,1,1,2
1554,1957.0,0,1.2,1,18,1,36,0.8,151.0,2,19,1194.0,1727.0,1115.0,16,2,18,1,0,1,1
1956,555.0,1,0.5,1,2,0,17,0.2,163.0,5,12,956.0,1010.0,343.0,19,14,3,0,1,1,0
925,1048.0,1,1.5,0,2,1,29,1.0,182.0,1,4,29.0,1670.0,2146.0,11,10,2,1,0,0,1
942,1061.0,1,2.1,0,3,1,52,0.1,109.0,7,4,138.0,1330.0,999.0,16,12,9,1,1,0,0
836,902.0,1,0.6,1,0,0,63,0.7,122.0,5,14,364.0,1360.0,3654.0,18,8,15,0,1,1,3
575,1197.0,1,0.5,1,9,0,20,0.1,129.0,5,10,214.0,1710.0,2885.0,19,7,14,1,1,1,2
557,1519.0,0,2.1,0,0,0,32,0.7,200.0,1,10,168.0,1239.0,2912.0,11,10,15,1,1,0,2
1235,1971.0,1,0.5,1,0,0,40,0.3,186.0,7,19,485.0,922.0,571.0,8,7,17,1,1,0,0
1360,882.0,0,0.7,1,9,1,28,0.2,151.0,6,16,248.0,884.0,751.0,19,11,8,1,0,1,0
1347,1332.0,0,1.3,1,5,1,7,0.8,168.0,7,19,846.0,855.0,2790.0,19,11,10,1,1,0,2
1161,1910.0,0,1.4,0,0,0,29,0.6,146.0,7,2,333.0,639.0,2944.0,8,7,2,1,1,1,2
1442,973.0,0,0.5,1,5,0,53,0.5,196.0,5,7,105.0,588.0,1861.0,13,10,16,0,1,0,1
286,612.0,1,1.9,1,6,0,16,0.3,102.0,7,7,1360.0,1891.0,3161.0,8,4,3,0,0,0,3
1604,1179.0,1,0.8,0,1,0,5,0.9,154.0,5,17,913.0,1429.0,543.0,8,7,18,0,0,1,0
1057,980.0,1,0.5,0,0,1,33,0.9,160.0,6,0,1008.0,1758.0,2268.0,7,5,4,1,1,0,2
598,1137.0,0,2.2,0,6,1,3,0.9,173.0,5,7,1250.0,1285.0,316.0,15,14,17,1,0,0,0
932,1485.0,0,2.8,0,3,1,44,0.1,138.0,4,14,341.0,774.0,3271.0,14,12,8,1,1,0,3
1461,1201.0,1,0.5,0,1,1,10,0.4,198.0,6,5,1151.0,1723.0,726.0,11,4,3,1,1,0,0
1637,1695.0,1,0.5,1,2,1,47,0.5,189.0,5,13,308.0,1208.0,1629.0,8,6,11,1,1,0,1
1587,1093.0,0,0.5,0,1,1,31,0.6,171.0,2,12,1310.0,1420.0,1646.0,12,0,6,1,1,0,1
1040,1154.0,0,0.5,0,12,1,14,0.7,156.0,7,14,251.0,1801.0,587.0,8,3,4,1,1,1,0
1230,697.0,0,2.7,1,5,1,20,0.4,173.0,2,6,478.0,1477.0,259.0,12,6,4,1,1,1,0
806,1511.0,0,2.5,1,3,0,21,0.2,114.0,3,18,1455.0,1982.0,3746.0,10,0,5,1,0,0,3
904,1062.0,0,1.5,0,3,0,45,0.2,151.0,3,4,798.0,1435.0,911.0,14,2,9,0,0,0,0
1679,1470.0,1,1.7,1,6,0,45,0.1,121.0,1,9,777.0,1090.0,3259.0,10,1,14,1,0,1,3
1204,1524.0,0,2.5,1,11,1,41,1.0,96.0,4,20,184.0,740.0,1936.0,7,0,9,1,1,1,1
767,1853.0,0,0.5,1,1,0,27,0.3,197.0,6,13,985.0,1005.0,1973.0,10,2,8,1,0,1,2
609,1212.0,0,2.6,0,1,1,46,0.3,102.0,4,8,611.0,1715.0,2249.0,14,3,4,1,1,1,2
1992,674.0,1,2.9,1,1,0,21,0.2,198.0,3,4,576.0,1809.0,1180.0,6,3,4,1,1,1,0
1564,1273.0,1,0.7,0,1,0,23,0.6,178.0,6,14,485.0,1399.0,558.0,8,5,13,1,0,0,0
